"Var","Location","Val","Month","Year"
"Temperature","Edmonton, Alberta",-0.6,"Apr",1967
"Temperature","Edmonton, Alberta",9.8,"May",1967
"Temperature","Edmonton, Alberta",13.5,"Jun",1967
"Temperature","Edmonton, Alberta",16.7,"Jul",1967
"Temperature","Edmonton, Alberta",17.5,"Aug",1967
"Temperature","Edmonton, Alberta",14,"Sep",1967
"Temperature","Edmonton, Alberta",5.2,"Oct",1967
"Temperature","Edmonton, Alberta",-3.6,"Nov",1967
"Temperature","Edmonton, Alberta",-11.6,"Dec",1967
"Temperature","Edmonton, Alberta",-17.5,"Jan",1968
"Temperature","Edmonton, Alberta",-8.7,"Feb",1968
"Temperature","Edmonton, Alberta",0.2,"Mar",1968
"Temperature","Edmonton, Alberta",3.6,"Apr",1968
"Temperature","Edmonton, Alberta",9.9,"May",1968
"Temperature","Edmonton, Alberta",13.6,"Jun",1968
"Temperature","Edmonton, Alberta",16.4,"Jul",1968
"Temperature","Edmonton, Alberta",13,"Aug",1968
"Temperature","Edmonton, Alberta",9.9,"Sep",1968
"Temperature","Edmonton, Alberta",4.2,"Oct",1968
"Temperature","Edmonton, Alberta",-2.8,"Nov",1968
"Temperature","Edmonton, Alberta",-18.3,"Dec",1968
"Temperature","Edmonton, Alberta",-26.4,"Jan",1969
"Temperature","Edmonton, Alberta",-14.9,"Feb",1969
"Temperature","Edmonton, Alberta",-8,"Mar",1969
"Temperature","Edmonton, Alberta",6.3,"Apr",1969
"Temperature","Edmonton, Alberta",10.4,"May",1969
"Temperature","Edmonton, Alberta",14.2,"Jun",1969
"Temperature","Edmonton, Alberta",15.7,"Jul",1969
"Temperature","Edmonton, Alberta",15.8,"Aug",1969
"Temperature","Edmonton, Alberta",10,"Sep",1969
"Temperature","Edmonton, Alberta",2,"Oct",1969
"Temperature","Edmonton, Alberta",-2.9,"Nov",1969
"Temperature","Edmonton, Alberta",-8.6,"Dec",1969
"Temperature","Edmonton, Alberta",-19.1,"Jan",1970
"Temperature","Edmonton, Alberta",-8,"Feb",1970
"Temperature","Edmonton, Alberta",-8.3,"Mar",1970
